datetime,air_temperature,running_status,sonic_status,operation_mode,location_status,location,number_of_rods,sonic_pressure,rotation_pressure,pullup_pressure,pulldown_pressure,inclination_x,inclination_y,flushing_pressure,flushing_debit,depth,depth_raw,sonic_speed,rotation_speed,rotation_speed_duo,rotation_pressure_duo,G_force_z,G_force_x,G_force_y,date_time,sonic_frequency,torque,torque_duo,penetration_speed
35:21.7,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,171.2,64.475,29.075,5.35,0.8,-1.5,0.012,0.319,0.49,0.49,8549.19,44.02,0,0,8.01082,5.12552,4.10992,35:21.7,142.4865,1012.2574999999998,0,2.469135802469138
35:22.0,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,171.425,64.475,28.95,5.35,0.8,-1.4,0.012,0.3,0.5,0.5,8549.19,44.02,0,0,8.01082,5.12552,4.10992,35:22.0,142.4865,1012.2574999999998,0,2.1428571428571446
35:22.3,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,172.45,66.45,26.975,5.35,0.8,-1.4,0.012,0.3,0.51,0.51,8534.71,51.04,0,0,8.01082,5.12552,4.10992,35:22.3,142.24516666666665,1043.265,0,1.880877743
35:22.4,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,171.925,67.475,27.15,5.325,0.8,-1.4,0.012,0.3,0.52,0.52,8534.71,51.04,0,0,8.01082,5.12552,4.10992,35:22.4,142.24516666666665,1059.3574999999998,0,4.800000000000004
35:22.7,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,170.9,67.05,27.6,5.375,0.7,0.2,0.006,0.3,0.53,0.53,8534.71,51.04,0,0,8.01082,5.12552,4.10992,35:22.7,142.24516666666665,1052.685,0,2.4590163934426252
35:23.0,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,172.975,68.95,26.675,5.4,0.7,0.2,0.006,0.319,0.54,0.54,8569.16,51.32,0,0,11.2759,6.5755,4.10992,35:23.0,142.81933333333333,1082.515,0,2.0833333333333353
35:23.2,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,172.1,68.675,27.125,5.4,0.7,0.2,0.006,0.319,0.55,0.55,8569.16,51.32,0,0,11.2759,6.5755,4.10992,35:23.2,142.81933333333333,1078.1975,0,3.0150753768844245
35:23.4,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,170.8,68.25,27.15,5.4,0,0.2,0.006,0.319,0.56,0.56,8518.01,51.18,0,0,11.2759,6.5755,4.10992,35:23.4,141.96683333333334,1071.5249999999999,0,2.843601896
35:23.7,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,171.55,68.95,27.45,5.4,0,0.4,0.006,0.319,0.57,0.57,8518.01,51.18,0,0,11.2759,6.5755,4.10992,35:23.7,141.96683333333334,1082.515,0,2.1739130434782385
35:23.9,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,170.45,67.6,28.475,5.375,0,0.4,0.006,0.319,0.58,0.58,8563.98,51.25,0,0,11.2759,6.5755,4.10992,35:23.9,142.733,1061.32,0,2.9126213592233037
35:24.1,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,169.8,66.725,28.4,5.4,1.1,0.4,0.006,0.319,0.59,0.59,8563.98,51.25,0,0,11.2759,6.5755,4.10992,35:24.1,142.733,1047.5824999999998,0,2.5862068965517264
35:24.4,18.1,started,started,Dynamic,no fix,"51.985602,6.051186",1,169.55,65.575,28.725,5.4,1.1,0.1,0.006,0.319,0.6,0.6,8571.93,51.19,0,0,11.2759,6.5755,4.10992,35:24.4,142.8655,1029.5275,0,2.105263157894739
35:24.6,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,169.85,65.1,29.2,5.4,1.1,0.1,0.006,0.319,0.61,0.61,8571.93,51.19,0,0,11.2759,6.5755,4.10992,35:24.6,142.8655,1022.0699999999998,0,3.030303030303033
35:24.8,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.65,64.925,28.65,5.4,1.1,0.1,0.006,0.319,0.62,0.62,8551.01,51.22,0,0,11.2759,6.5755,4.10992,35:24.8,142.51683333333332,1019.3224999999999,0,2.5531914893617045
35:25.0,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,169.85,64.675,27.725,5.375,-0.4,0.1,0.006,0.319,0.63,0.63,8551.01,51.22,0,0,11.2759,6.5755,4.10992,35:25.0,142.51683333333332,1015.3974999999999,0,2.5210084033613467
35:25.3,18.2,started,started,Dynamic,no fix,"51.985602,6.051186",1,168.85,65.125,28.925,5.4,-0.4,1.5,0.006,0.319,0.64,0.64,8581.04,44.18,0,0,11.2759,6.5755,4.10992,35:25.3,143.01733333333334,1022.4625,0,2.5423728813559348
