datetime,air_temperature,sonic_status,operation_mode,number_of_rods,sonic_pressure,rotation_pressure,pullup_pressure,pulldown_pressure,inclination_x,inclination_y,flushing_pressure,flushing_debit,depth,depth_raw,sonic_speed,rotation_speed,G_force_z,G_force_x,G_force_y,sonic_frequency,torque,penetration_speed,qc,fs
35:23.0,18.1,1,1,1,172.975,68.95,26.675,5.4,0.7,0.2,0.006,0.319,0.54,0.54,8569.16,51.32,11.2759,6.5755,4.10992,142.81933333333333,1082.515,2.083333333333336,2.54,93.46
35:23.2,18.1,1,1,1,172.1,68.675,27.125,5.4,0.7,0.2,0.006,0.319,0.55,0.55,8569.16,51.32,11.2759,6.5755,4.10992,142.81933333333333,1078.1975,3.0150753768844245,2.45,94.64
35:23.4,18.1,1,1,1,170.8,68.25,27.15,5.4,0.0,0.2,0.006,0.319,0.56,0.56,8518.01,51.18,11.2759,6.5755,4.10992,141.96683333333334,1071.525,2.843601896,2.26,91.78
35:23.7,18.1,1,1,1,171.55,68.95,27.45,5.4,0.0,0.4,0.006,0.319,0.57,0.57,8518.01,51.18,11.2759,6.5755,4.10992,141.96683333333334,1082.515,2.1739130434782385,2.2,90.32
35:23.9,18.2,1,1,1,170.45,67.6,28.475,5.375,0.0,0.4,0.006,0.319,0.58,0.58,8563.98,51.25,11.2759,6.5755,4.10992,142.733,1061.32,2.912621359223304,2.13,88.54
35:24.1,18.2,1,1,1,169.8,66.725,28.4,5.4,1.1,0.4,0.006,0.319,0.59,0.59,8563.98,51.25,11.2759,6.5755,4.10992,142.733,1047.5824999999998,2.5862068965517264,2.14,87.82
35:24.4,18.1,1,1,1,169.55,65.575,28.725,5.4,1.1,0.1,0.006,0.319,0.6,0.6,8571.93,51.19,11.2759,6.5755,4.10992,142.8655,1029.5275,2.105263157894739,2.22,89.66
35:24.6,18.2,1,1,1,169.85,65.1,29.2,5.4,1.1,0.1,0.006,0.319,0.61,0.61,8571.93,51.19,11.2759,6.5755,4.10992,142.8655,1022.0699999999998,3.030303030303033,2.56,89.64
35:24.8,18.2,1,1,1,168.65,64.925,28.65,5.4,1.1,0.1,0.006,0.319,0.62,0.62,8551.01,51.22,11.2759,6.5755,4.10992,142.51683333333332,1019.3225,2.5531914893617045,2.92,86.42
35:25.0,18.2,1,1,1,169.85,64.675,27.725,5.375,-0.4,0.1,0.006,0.319,0.63,0.63,8551.01,51.22,11.2759,6.5755,4.10992,142.51683333333332,1015.3975,2.5210084033613467,3.36,85.1
