datetime,air_temperature,sonic_status,operation_mode,number_of_rods,sonic_pressure,rotation_pressure,pullup_pressure,pulldown_pressure,inclination_x,inclination_y,flushing_pressure,flushing_debit,depth,depth_raw,sonic_speed,rotation_speed,G_force_z,G_force_x,G_force_y,sonic_frequency,torque,penetration_speed,qc,fs,fs_sqrt,air_temperature_outlier,number_of_rods_outlier,sonic_pressure_outlier,rotation_pressure_outlier,pullup_pressure_outlier,pulldown_pressure_outlier,inclination_x_outlier,inclination_y_outlier,flushing_pressure_outlier,flushing_debit_outlier,depth_raw_outlier,sonic_speed_outlier,rotation_speed_outlier,G_force_z_outlier,G_force_x_outlier,G_force_y_outlier,sonic_frequency_outlier,torque_outlier,penetration_speed_outlier,qc_outlier,fs_outlier,fs_sqrt_outlier,pull_diff,torque_per_rotation,g_total,energy_input,mechanical_stress,torque_to_penetration
35:19.4,18.1,1,1,1,169.4,49.25,38.075,5.275,0.0,1.0,0.006,0.319,0.38,0.38,8558.57,51.34,8.01082,5.12552,4.10992,142.64283333333333,773.2249999999999,2.459016393442625,4.08,50.94,7.137226352022191,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,32.800000000000004,15.060868424992822,10.36029124828062,1449821.758,38081.331249999996,314.44470545915283
35:19.6,18.1,1,1,1,169.475,49.05,38.4,5.25,0.0,0.7,0.006,0.319,0.39,0.39,8558.57,51.34,8.01082,5.12552,4.10992,142.64283333333333,770.0849999999999,4.9180327868852505,3.67,53.74,7.330757123244502,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,33.15,14.999707537987774,10.36029124828062,1450463.6507499998,37772.66924999999,156.58391816126982
35:19.8,18.1,1,1,1,170.525,49.15,36.725,5.275,0.0,0.7,0.006,0.319,0.4,0.4,8603.6,51.21,8.01082,5.12552,4.10992,143.39333333333337,771.655,2.926829268292685,3.36,57.9,7.60920495189872,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,31.450000000000003,15.068443369098938,10.36029124828062,1467128.8900000001,37926.84325,263.6487015866934
35:20.0,18.1,1,1,1,168.625,49.9,36.5,5.3,0.0,0.7,0.006,0.319,0.41,0.41,8603.6,51.21,8.01082,5.12552,4.10992,143.39333333333337,783.43,2.702702703,3.15,61.66,7.852388171760232,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,31.2,15.29837892406993,10.36029124828062,1450782.05,39093.157,289.86899271658706
35:20.1,18.1,1,1,1,167.9,50.4,35.9,5.25,0.6,0.7,0.006,0.319,0.42,0.42,8603.6,51.21,8.01082,5.12552,4.10992,143.39333333333337,791.28,3.680981595092028,2.94,65.38,8.085790004693418,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,30.65,15.451669294050589,10.36029124828062,1444544.4400000002,39880.511999999995,214.96434160135362
35:20.3,18.1,1,1,1,169.625,51.35,35.025,5.275,0.6,1.2,0.012,0.319,0.43,0.43,8577.63,44.05,8.01082,5.12552,4.10992,142.9605,806.1949999999999,3.061224489795921,2.74,70.6,8.402380615040002,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,29.75,18.301815702569453,10.36029124828062,1454980.4887499998,41398.113249999995,263.35694730339696
35:20.6,18.1,1,1,1,170.625,52.8,34.65,5.3,0.6,1.2,0.012,0.319,0.44,0.44,8577.63,44.05,8.01082,5.12552,4.10992,142.9605,828.9599999999999,2.5210084033613467,2.58,74.32,8.620904824900922,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,29.349999999999998,18.818614782778326,10.36029124828062,1463558.11875,43769.087999999996,328.82066956780073
35:20.8,18.1,1,1,1,170.825,55.025,32.85,5.3,0.6,1.2,0.012,0.319,0.45,0.45,8646.52,43.95,8.01082,5.12552,4.10992,144.10866666666666,863.8924999999999,3.030303030303033,2.43,79.34,8.907300376657341,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,27.55,19.656256663111336,10.36029124828062,1477041.7789999999,47535.684812499996,285.0844309221375
35:21.0,18.1,1,1,1,171.95,56.925,31.325,5.325,0.5,1.2,0.012,0.319,0.46,0.46,8646.52,43.95,8.01082,5.12552,4.10992,144.10866666666666,893.7225,2.843601896,2.29,87.06,9.3305948363435,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,26.0,20.33498247246911,10.36029124828062,1486769.114,50875.1533125,314.2923019445398
35:21.3,18.1,1,1,1,171.175,59.975,31.125,5.325,0.5,-1.5,0.012,0.319,0.47,0.47,8550.95,44.02,8.01082,5.12552,4.10992,142.51583333333335,941.6075,1.8808777429467,2.26,90.26,9.500526301210895,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,25.8,21.390447037927146,10.36029124828062,1463708.8662500002,56472.9098125,500.6210546698082
